fecha;mes;festivo;npasajeros;intensidad_evento;inten_lluvia;ocupacion_trafico;semana_mes;day_of_week
2015-10-17;10;0;3005;0;6.1;113.512195122;1;5
2015-10-18;10;0;1987;0;15.6;76.25;1;6
2015-10-19;10;0;3941;0;0.0;84.2553191489;1;0
2015-10-20;10;0;4276;0;0.1;90.8493150685;1;1
2015-10-21;10;0;4381;0;0.0;83.3311688312;1;2
2015-10-22;10;0;4203;0;0.0;102.948051948;2;3
2015-10-23;10;0;4201;0;0.0;126.415384615;2;4
2015-10-24;10;0;2847;0;0.0;89.4719101124;2;5
2015-10-25;10;0;2210;0;0.0;98.1428571429;2;6
2015-10-26;10;0;3849;0;0.6;80.3134328358;2;0
2015-10-27;10;0;4149;0;1.4;79.2573099415;2;1
2015-10-28;10;0;4078;0;0.0;105.014705882;2;2
2015-10-29;10;0;4471;0;0.0;0.0;2;3
2015-10-30;10;0;3913;0;0.0;119.816793893;2;4
2015-10-31;10;0;2704;0;0.0;68.7117117117;2;5
2015-11-01;11;0;1957;0;0.0;61.2558139535;0;6
2015-11-02;11;0;3881;0;3.9;100.861111111;0;0
2015-11-03;11;0;4152;0;0.0;84.0833333333;0;1
2015-11-04;11;0;4215;0;0.3;78.5420560748;0;2
2015-11-05;11;0;4168;0;0.0;84.2014388489;0;3
2015-11-06;11;0;4089;0;0.0;106.695652174;0;4
2015-11-07;11;0;2217;0;0.1;95.4210526316;0;5
2015-11-08;11;0;2531;0;0.0;52.8494623656;1;6
2015-11-09;11;1;2601;0;0.0;58.8214285714;1;0
2015-11-10;11;0;4161;0;0.0;76.7357142857;1;1
2015-11-11;11;0;4348;0;0.0;86.8560606061;1;2
2015-11-12;11;0;4394;0;0.0;108.189542484;1;3
2015-11-13;11;0;4489;0;0.0;71.9152542373;1;4
2015-11-14;11;0;2909;0;0.0;0.0;1;5
2015-11-15;11;0;2387;0;0.0;54.4251968504;1;6
2015-11-16;11;0;4265;0;0.0;77.0555555556;1;0
2015-11-17;11;0;4048;0;0.0;83.7551020408;1;1
2015-11-18;11;0;4395;0;0.0;134.134146341;1;2
2015-11-19;11;0;4591;0;0.0;107.835616438;1;3
2015-11-20;11;0;4064;0;0.0;133.323741007;1;4
2015-11-21;11;0;2674;0;0.1;70.9012345679;1;5
2015-11-22;11;0;1916;0;0.0;63.5333333333;2;6
2015-11-23;11;0;3753;0;0.0;98.5573770492;2;0
2015-11-24;11;0;4011;0;0.0;86.58;2;1
2015-11-25;11;0;3924;0;0.0;90.675;2;2
2015-11-26;11;0;3916;0;0.0;85.2147239264;2;3
2015-11-27;11;0;5072;0;0.0;142.01734104;2;4
2015-11-28;11;0;3202;0;0.0;63.7382550336;2;5
2015-11-29;11;0;2484;0;0.0;66.5405405405;2;6
2015-11-30;11;0;4403;0;0.0;72.3214285714;2;0
2015-12-01;12;0;4245;0;0.0;80.5254237288;0;1
2015-12-02;12;0;4520;0;0.0;70.3945578231;0;2
2015-12-03;12;0;4380;0;0.0;79.7179487179;0;3
2015-12-04;12;0;4420;0;0.0;122.108108108;0;4
2015-12-05;12;0;3097;0;0.0;43.2834645669;0;5
2015-12-06;12;0;2057;0;0.0;66.4545454545;0;6
2015-12-07;12;0;3751;0;0.0;106.322404372;0;0
2015-12-08;12;1;2454;0;0.0;48.7090909091;1;1
2015-12-09;12;0;4261;0;0.0;70.7890625;1;2
2015-12-10;12;0;4561;0;0.0;87.8734177215;1;3
2015-12-11;12;0;4180;0;0.0;119.307228916;1;4
2015-12-12;12;0;3208;0;0.0;81.6907216495;1;5
2015-12-13;12;0;2185;0;0.0;59.5263157895;1;6
2015-12-14;12;0;4342;0;0.2;75.186440678;1;0
2015-12-15;12;0;4531;0;0.0;91.8164556962;1;1
2015-12-16;12;0;4740;0;0.0;107.203389831;1;2
2015-12-17;12;0;4805;0;0.0;109.194312796;1;3
2015-12-18;12;0;4238;0;0.0;109.453900709;1;4
2015-12-19;12;0;2832;0;0.0;77.6310679612;1;5
2015-12-20;12;0;1792;0;0.0;72.914893617;1;6
2015-12-21;12;0;4062;0;0.0;107.146153846;1;0
2015-12-22;12;0;6465;0;0.0;91.5785123967;2;1
2015-12-23;12;0;3950;0;0.0;88.5075757576;2;2
